n	x	y	
478	-73.982557	40.7313565	;
479	-73.9825294	40.71472	;
480	-73.9824267	40.7146908	;
481	-73.9823238	40.7739217	;
482	-73.9823049	40.7730986	;
483	-73.982295	40.7726333	;
484	-73.9822655	40.7706087	;
485	-73.9822629	40.7458147	;
486	-73.9822537	40.7573902	;
487	-73.9821981	40.7778249	;
488	-73.9821224	40.7738325	;
489	-73.9820858	40.7730083	;
490	-73.9820716	40.7787704	;
491	-73.9820402	40.7705153	;
492	-73.982024	40.74905	;
493	-73.9818975	40.7629646	;
494	-73.9818825	40.7676798	;
495	-73.981848	40.766287	;
496	-73.9818175	40.746346	;
497	-73.9817632	40.7684033	;
498	-73.9816483	40.7785905	;
499	-73.9816476	40.7144617	;
500	-73.9816187	40.7677437	;
501	-73.9815997	40.7496412	;
502	-73.9815725	40.7736018	;
503	-73.98156	40.743882	;
504	-73.9814928	40.768258	;
505	-73.9814491	40.7471233	;
506	-73.9814328	40.7635954	;
507	-73.9813158	40.720654	;
508	-73.9812613	40.7470478	;
509	-73.9812411	40.720782	;
510	-73.9811702	40.7843497	;
511	-73.9811523	40.7792635	;
512	-73.981109	40.744498	;
513	-73.9810182	40.7676993	;
514	-73.980923	40.714264	;
515	-73.9809087	40.7378801	;
516	-73.980888	40.753481	;
517	-73.9808828	40.7592744	;
518	-73.9805755	40.7699112	;
519	-73.9805509	40.7109349	;
520	-73.9805026	40.7484151	;
521	-73.9804176	40.7599106	;
522	-73.9803693	40.7899385	;
523	-73.9803529	40.730428	;
524	-73.9803447	40.7702188	;
525	-73.9803098	40.7483355	;
526	-73.98021	40.780561	;
527	-73.98017	40.7222838	;
528	-73.9800838	40.783893	;
529	-73.9800511	40.7490283	;
530	-73.980036	40.765521	;
531	-73.9799531	40.7432033	;
532	-73.9799051	40.7838162	;
533	-73.9798606	40.7489496	;
534	-73.979724	40.746402	;
535	-73.9796016	40.7670981	;
536	-73.9794915	40.7438293	;
537	-73.979483	40.755405	;
538	-73.97929	40.713762	;
539	-73.9792861	40.7528022	;
540	-73.979193	40.771782	;
541	-73.979076	40.766876	;
542	-73.979057	40.761771	;
543	-73.979024	40.756032	;
544	-73.9789967	40.7370733	;
545	-73.9788111	40.750392	;
546	-73.9788008	40.7774027	;
547	-73.978788	40.747684	;
548	-73.978728	40.772417	;
549	-73.9787167	40.7200067	;
550	-73.978601	40.762396	;
551	-73.9785141	40.7368726	;
552	-73.9783444	40.7482941	;
553	-73.9783287	40.7831525	;
554	-73.9782201	40.7134405	;
555	-73.9781439	40.7367149	;
556	-73.9780908	40.7457162	;
557	-73.9780305	40.7294404	;
558	-73.977875	40.754728	;
559	-73.9778627	40.7888872	;
560	-73.9778045	40.7717877	;
561	-73.9777881	40.752178	;
562	-73.9777264	40.7422757	;
563	-73.977655	40.757912	;
564	-73.977586	40.71325	;
565	-73.9775607	40.7520849	;
566	-73.9774168	40.7553543	;
567	-73.9773744	40.7895628	;
568	-73.9773621	40.7844628	;
569	-73.9773216	40.7453996	;
570	-73.977201	40.758538	;
571	-73.977196	40.764324	;
572	-73.9771578	40.7470002	;
573	-73.9770965	40.7660432	;
574	-73.9770328	40.7927886	;
575	-73.976893	40.722498	;
576	-73.9768165	40.7460403	;
577	-73.9767868	40.7659104	;
578	-73.976735	40.796025	;
579	-73.9767048	40.7476182	;
580	-73.9766243	40.7957927	;
581	-73.9766072	40.7883609	;
582	-73.9764349	40.7882867	;
583	-73.9763315	40.7763727	;
584	-73.9762897	40.7153546	;
585	-73.9762208	40.7656707	;
586	-73.9762113	40.727762	;
587	-73.976045	40.757232	;
588	-73.9760254	40.7514557	;
589	-73.9759847	40.7955204	;
590	-73.9759585	40.7762171	;
591	-73.975907	40.7547208	;
592	-73.975881	40.744779	;
593	-73.975831	40.760418	;
594	-73.9757824	40.7456054	;
595	-73.9757318	40.7161743	;
596	-73.9756983	40.7546344	;
597	-73.9756964	40.7284597	;
598	-73.9756445	40.7971967	;
599	-73.9755926	40.7356267	;
600	-73.975591	40.75786	;
601	-73.9755353	40.7446348	;
602	-73.975483	40.7819523	;
603	-73.9754392	40.7445947	;
604	-73.975394	40.745442	;
605	-73.975373	40.76104	;
606	-73.9753112	40.7961379	;
607	-73.9753032	40.7511471	;
608	-73.975224	40.744505	;
609	-73.9751895	40.795937	;
610	-73.9751082	40.7354184	;
611	-73.9751052	40.7187635	;
612	-73.9750709	40.7189977	;
613	-73.9750103	40.7876846	;
614	-73.9750094	40.7349367	;
615	-73.974927	40.7460675	;
616	-73.974839	40.7961566	;
617	-73.974789	40.7353683	;
618	-73.9747455	40.7188498	;
619	-73.9747418	40.729777	;
620	-73.9747141	40.7210513	;
621	-73.9746888	40.7459612	;
622	-73.974648	40.753367	;
623	-73.9745531	40.7832296	;
624	-73.9745454	40.7465853	;
625	-73.9745415	40.7566051	;
626	-73.9745237	40.7373813	;
627	-73.9744848	40.7466699	;
628	-73.9744666	40.7372444	;
629	-73.9744611	40.7327577	;
630	-73.9744129	40.7507666	;
631	-73.9743466	40.7565228	;
632	-73.974306	40.745798	;
633	-73.9742235	40.7597393	;
634	-73.9741902	40.7539937	;
635	-73.9741088	40.7313844	;
636	-73.9740875	40.7572226	;
637	-73.9739875	40.7309957	;
